codigo;descricao;porte;ch;co
41301510;Topografia do disco óptico - HRT - binocular;;;
41301498;Exame neuro oftalmlógico;;;
41301480;Ceratoscopia computadorizada da córnea por orbscan, olho;;;
41301471;Teste do reflexo vermelho em recém nato (teste do olhinho);;;
41301463;Triagem auditiva neonatal/infantil;;;
41301455;Olfatometria;;;
41301447;Glare (BAT) - binocular;;;
41301439;Fundoscopia sob medríases - binocular;;;
41301420;Biomicroscopia de fundo;;;
41301412;Calorimetria direta;;;
41301404;Avaliação da função muscular por movimento manual (por membro);;;
41301390;Coleta de raspado dérmico em lesões e sítios específicos para baciloscopia;;;
41301382;Capilaroscopia periungueal;;;
41301374;Vulvoscopia (vulva e períneo);;;
41301366;Visão subnormal - monocular;;;
41301358;Urofluxometria;;;
41301340;Urodinâmica completa;;;
41301331;Tricograma;;;
41301323;Tonometria - binocular;;;
41301315;Retinografia (só honorário) monocular;;;
41301307;Potencial de acuidade visual - monocular;;;
41301285;Peniscopia (inclui bolsa escrotal);;;
41301277;Oftalmodinamometria - monocular;;;
41301269;Microscopia especular de córnea - monocular;;;
41301250;Mapeamento de retina (oftalmoscopia indireta) - monocular;;;
41301242;Gonioscopia - binocular;;;
41301234;Fotodermatoscopia (por lesão);;;
41301226;Exame micológico direto (por local);;;
41301218;Exame micológico - cultura e identificação de colônia;;;
41301200;Exame de motilidade ocular (teste ortóptico) - binocular;;;
41301188;Exame a fresco do conteúdo vaginal e cervical;;;
41301170;Avaliação de vias lacrimais (Teste de Schirmer) - monocular ;;;
41301161;Estesiometria (por membro);;;
41301153;Estéreo-foto de papila - monocular;;;
41301145;Ereção fármaco-induzida;;;
41301137;Dermatoscopia (por lesão);;;
41301129;Curva tensional diária - binocular;;;
41301110;Cordocentese;;;
41301102;Colposcopia (cérvice uterina e vagina);;;
41301099;Coleta de material cérvico-vaginal;;;
41301080;Ceratoscopia computadorizada - monocular;;;
41301072;Campimetria manual - monocular;;;
41301064;Calorimetria indireta (ambulatorial) exame;;;
41301056;Biópsia do vilo corial;;;
41301048;Bioimpedanciometria (ambulatorial) exame;;;
41301030;Avaliação órbito-palpebral-exoftalmometria - binocular;;;
41301021;Angiografia com indocianina verde - monocular;;;
